index,word,stem,suffix,frequency,frequency_in_a_million
439,middle-man,middle-,man,7,0.6719147044597571
440,chainman,chain,man,7,0.6719147044597571
441,frenchwoman,french,woman,7,0.6719147044597571
442,batwoman,bat,woman,7,0.6719147044597571
443,entrepreneuress,entrepreneur,ess,7,0.6719147044597571
444,shoe repairman,shoe repair,man,7,0.6719147044597571
445,servicewoman,service,woman,7,0.6719147044597571
446,birdman,bird,man,7,0.6719147044597571
447,radio repairman,radio repair,man,7,0.6719147044597571
448,mayoress,mayor,ess,7,0.6719147044597571
449,warrioress,warrior,ess,7,0.6719147044597571
450,handy-woman,handy-,woman,7,0.6719147044597571
451,townsperson,towns,person,7,0.6719147044597571
452,taxman,tax,man,7,0.6719147044597571
453,concert-mistress,concert-mistr,ess,7,0.6719147044597571
454,cellarman,cellar,man,7,0.6719147044597571
455,mastercraftsman,mastercrafts,man,6,0.5759268895369346
456,turned-businessman,turned-business,man,6,0.5759268895369346
457,shantyman,shanty,man,6,0.5759268895369346
458,parts person,parts ,person,6,0.5759268895369346
459,plowman,plow,man,6,0.5759268895369346
460,housemistress,housemistr,ess,6,0.5759268895369346
461,fisher-woman,fisher-,woman,6,0.5759268895369346
462,catwoman,cat,woman,6,0.5759268895369346
463,craftperson,craft,person,6,0.5759268895369346
464,minuteman,minute,man,6,0.5759268895369346
465,laywoman,lay,woman,6,0.5759268895369346
466,ironwoman,iron,woman,6,0.5759268895369346
467,nurserywoman,nursery,woman,6,0.5759268895369346
468,godess,god,ess,6,0.5759268895369346
469,bus person,bus ,person,6,0.5759268895369346
470,super-woman,super-,woman,6,0.5759268895369346
471,renaissance-man,renaissance-,man,6,0.5759268895369346
472,hooman,hoo,man,6,0.5759268895369346
473,wing-man,wing-,man,6,0.5759268895369346
474,spear-fisherman,spear-fisher,man,6,0.5759268895369346
475,co-hostess,co-host,ess,6,0.5759268895369346
476,co-frontman,co-front,man,6,0.5759268895369346
477,irishwoman,irish,woman,6,0.5759268895369346
478,sports-person,sports-,person,6,0.5759268895369346
479,keyman,key,man,6,0.5759268895369346
480,yard foreman,yard fore,man,6,0.5759268895369346
481,alderwoman,alder,woman,6,0.5759268895369346
482,axe-man,axe-,man,6,0.5759268895369346
483,fisherperson,fisher,person,6,0.5759268895369346
484,postwoman,post,woman,6,0.5759268895369346
485,riksspelman,riksspel,man,6,0.5759268895369346
486,session-man,session-,man,6,0.5759268895369346
487,pointman,point,man,6,0.5759268895369346
488,merman,mer,man,6,0.5759268895369346
489,manifestress,manifestr,ess,6,0.5759268895369346
490,newsperson,news,person,6,0.5759268895369346
491,forewoman,fore,woman,6,0.5759268895369346
492,voice-actress,voice-actr,ess,6,0.5759268895369346
493,markswoman,marks,woman,6,0.5759268895369346
494,guitarman,guitar,man,6,0.5759268895369346
495,tile man,tile ,man,6,0.5759268895369346
496,business-man,business-,man,6,0.5759268895369346
497,vestryman,vestry,man,6,0.5759268895369346
498,inside salesperson,inside sales,person,6,0.5759268895369346
499,bicycle repairman,bicycle repair,man,6,0.5759268895369346
500,hypeman,hype,man,6,0.5759268895369346
501,business-person,business-,person,6,0.5759268895369346
502,.man,.,man,6,0.5759268895369346
503,television repairman,television repair,man,6,0.5759268895369346
504,one-woman,one-,woman,6,0.5759268895369346
505,costume seamstress,costume seamstr,ess,6,0.5759268895369346
506,bussiness,bussin,ess,6,0.5759268895369346
507,landscape construction foreman,landscape construction fore,man,5,0.47993907461411217
508,camerman,camer,man,5,0.47993907461411217
509,musicman,music,man,5,0.47993907461411217
510,oysterman,oyster,man,5,0.47993907461411217
511,past-chairperson,past-chair,person,5,0.47993907461411217
512,wheelman,wheel,man,5,0.47993907461411217
513,electrical lineman,electrical line,man,5,0.47993907461411217
514,noblewoman,noble,woman,5,0.47993907461411217
515,letter-man,letter-,man,5,0.47993907461411217
516,fire controlman,fire control,man,5,0.47993907461411217
517,hypewoman,hype,woman,5,0.47993907461411217
518,pro-woman,pro-,woman,5,0.47993907461411217
519,lighting-cameraman,lighting-camera,man,5,0.47993907461411217
520,o-lineman,o-line,man,5,0.47993907461411217
521,ringmistress,ringmistr,ess,5,0.47993907461411217
522,plainsman,plains,man,5,0.47993907461411217
523,first-person,first-,person,5,0.47993907461411217
524,cornerman,corner,man,5,0.47993907461411217
525,hopeless,hopel,ess,5,0.47993907461411217
526,giantess,giant,ess,5,0.47993907461411217
527,steersman,steers,man,5,0.47993907461411217
528,craftwoman,craft,woman,5,0.47993907461411217
529,railroad brakeman,railroad brake,man,5,0.47993907461411217
530,sportfisherman,sportfisher,man,5,0.47993907461411217
531,ex-chairperson,ex-chair,person,5,0.47993907461411217
532,kerryman,kerry,man,5,0.47993907461411217
533,stunt person,stunt ,person,5,0.47993907461411217
534,draftman,draft,man,5,0.47993907461411217
535,seamtress,seamtr,ess,5,0.47993907461411217
536,birman,bir,man,5,0.47993907461411217
537,crab fisherman,crab fisher,man,5,0.47993907461411217
538,one-man,one-,man,5,0.47993907461411217
539,soulstress,soulstr,ess,5,0.47993907461411217
540,concrete foreman,concrete fore,man,5,0.47993907461411217
541,camera-man,camera-,man,5,0.47993907461411217
542,power lineman,power line,man,5,0.47993907461411217
543,sternman,stern,man,5,0.47993907461411217
544,boat person,boat ,person,5,0.47993907461411217
545,setup man,setup ,man,5,0.47993907461411217
546,seeress,seer,ess,5,0.47993907461411217
547,binman,bin,man,5,0.47993907461411217
548,hot-mess,hot-m,ess,5,0.47993907461411217
549,familyman,family,man,5,0.47993907461411217
550,parts salesman,parts sales,man,5,0.47993907461411217
551,layout man,layout ,man,5,0.47993907461411217
552,repairperson,repair,person,5,0.47993907461411217
553,leatherwoman,leather,woman,5,0.47993907461411217
554,workingman,working,man,5,0.47993907461411217
555,wisewoman,wise,woman,5,0.47993907461411217
556,trashman,trash,man,5,0.47993907461411217
557,conductress,conductr,ess,5,0.47993907461411217
558,gentle-man,gentle-,man,5,0.47993907461411217
559,woodcraftsman,woodcrafts,man,5,0.47993907461411217
560,roundsman,rounds,man,5,0.47993907461411217
561,fieldman,field,man,5,0.47993907461411217
562,woodworking craftsman,woodworking crafts,man,5,0.47993907461411217
563,waterwoman,water,woman,4,0.38395125969128974
564,gentlewoman,gentle,woman,4,0.38395125969128974
565,parts counterman,parts counter,man,4,0.38395125969128974
566,cattlewoman,cattle,woman,4,0.38395125969128974
567,consciousness,consciousn,ess,4,0.38395125969128974
568,boogieman,boogie,man,4,0.38395125969128974
569,chaiperson,chai,person,4,0.38395125969128974
570,kongress,kongr,ess,4,0.38395125969128974
571,cavewoman,cave,woman,4,0.38395125969128974
572,publicity person,publicity ,person,4,0.38395125969128974
573,nightwatchman,nightwatch,man,4,0.38395125969128974
574,statesperson,states,person,4,0.38395125969128974
575,wombman,womb,man,4,0.38395125969128974
576,funkstress,funkstr,ess,4,0.38395125969128974
577,brahman,brah,man,4,0.38395125969128974
578,demigoddess,demigodd,ess,4,0.38395125969128974
579,founder-chairman,founder-chair,man,4,0.38395125969128974
580,odd-man,odd-,man,4,0.38395125969128974
581,micropress,micropr,ess,4,0.38395125969128974
582,starman,star,man,4,0.38395125969128974
583,cutman,cut,man,4,0.38395125969128974
584,sessionman,session,man,4,0.38395125969128974
