index,word,stem,suffix,frequency,frequency_in_a_million
378,topman,top,man,84,0.22553554522754907
379,cadman,cad,man,84,0.22553554522754907
380,elliman,elli,man,83,0.22285059826055442
381,heman,he,man,82,0.2201656512935598
382,schurman,schur,man,82,0.2201656512935598
383,gateman,gate,man,80,0.21479575735957052
384,nodelman,nodel,man,79,0.2121108103925759
385,doomsman,dooms,man,79,0.2121108103925759
386,aleman,ale,man,78,0.20942586342558125
387,richman,rich,man,78,0.20942586342558125
388,kidman,kid,man,77,0.20674091645858664
389,solyman,soly,man,77,0.20674091645858664
390,dragoman,drago,man,76,0.20405596949159202
391,fleischman,fleisch,man,76,0.20405596949159202
392,penman,pen,man,76,0.20405596949159202
393,heeseman,heese,man,76,0.20405596949159202
394,kellerman,keller,man,75,0.20137102252459738
395,gottman,gott,man,75,0.20137102252459738
396,seidman,seid,man,74,0.19868607555760273
397,prettyman,pretty,man,74,0.19868607555760273
398,kettleman,kettle,man,74,0.19868607555760273
399,oklahoman,oklaho,man,73,0.19600112859060811
400,allman,all,man,73,0.19600112859060811
401,shifman,shif,man,73,0.19600112859060811
402,truckman,truck,man,73,0.19600112859060811
403,crossman,cross,man,72,0.19331618162361347
404,handelman,handel,man,72,0.19331618162361347
405,rothman,roth,man,71,0.19063123465661883
406,aman,a,man,71,0.19063123465661883
407,maltzman,maltz,man,71,0.19063123465661883
408,deckman,deck,man,71,0.19063123465661883
409,godliman,godli,man,71,0.19063123465661883
410,othman,oth,man,70,0.1879462876896242
411,hughman,hugh,man,70,0.1879462876896242
412,ahriman,ahri,man,70,0.1879462876896242
413,lippman,lipp,man,70,0.1879462876896242
414,denman,den,man,70,0.1879462876896242
415,soloman,solo,man,70,0.1879462876896242
416,weizman,weiz,man,70,0.1879462876896242
417,verman,ver,man,70,0.1879462876896242
418,doryman,dory,man,70,0.1879462876896242
419,rackman,rack,man,70,0.1879462876896242
420,lohman,loh,man,70,0.1879462876896242
421,fellowman,fellow,man,69,0.1852613407226296
422,merriman,merri,man,69,0.1852613407226296
423,whaleman,whale,man,68,0.18257639375563495
424,heyman,hey,man,68,0.18257639375563495
425,fishman,fish,man,68,0.18257639375563495
426,frogman,frog,man,68,0.18257639375563495
427,lipman,lip,man,68,0.18257639375563495
428,fetterman,fetter,man,67,0.1798914467886403
429,bogeyman,bogey,man,67,0.1798914467886403
430,houseman,house,man,67,0.1798914467886403
431,voman,vo,man,67,0.1798914467886403
432,unman,un,man,66,0.17720649982164569
433,moorman,moor,man,66,0.17720649982164569
434,castleman,castle,man,66,0.17720649982164569
435,dinkman,dink,man,66,0.17720649982164569
436,fairman,fair,man,65,0.17452155285465104
437,erdman,erd,man,65,0.17452155285465104
438,wingman,wing,man,64,0.17183660588765642
439,pearlman,pearl,man,64,0.17183660588765642
440,funnyman,funny,man,64,0.17183660588765642
441,holtzman,holtz,man,64,0.17183660588765642
442,passman,pass,man,63,0.1691516589206618
443,forewoman,fore,woman,62,0.16646671195366716
444,helfman,helf,man,62,0.16646671195366716
445,raftsman,rafts,man,62,0.16646671195366716
446,unhuman,unhu,man,61,0.16378176498667252
447,bluman,blu,man,61,0.16378176498667252
448,trainman,train,man,61,0.16378176498667252
449,bronfman,bronf,man,60,0.1610968180196779
